S.No	Date	Vehicle No.	W. Slip No.	Truckchit No.	Center Name	DISTRICT	New Bags	Old Bags	Total Bags	Total Quintals	Moisture	Unloading Point
89	17-05-2025	AP12V2959	975	13126	IKP NAWABPET	SANGAREDDY	0	573	573	229.2		OLD GODOWN
90	17-05-2025	TS15UE7857	976	10334	PACS REDDIKHANAPUR	SANGAREDDY	0	571	571	228.4		OLD GODOWN
91	17-05-2025	TS12UA7845	977	12027	PACS KASALA II	SANGAREDDY	0	717	717	286.8		OLD GODOWN
92	17-05-2025	AP16TD5799	979	26000	IKP HATHNOORA	SANGAREDDY	0	805	805	322		OLD GODOWN
93	17-05-2025	TS07UK3350	980	12173	PACS KASALA I	SANGAREDDY	0	807	807	322.8		OLD GODOWN
94	18-05-2025	AP24X8168	981	10335	PACS REDDIKHANAPUR	SANGAREDDY	0	623	623	249.2		OLD GODOWN
95	18-05-2025	AP31TC1059	982	12026	PACS KASALA II	SANGAREDDY	0	740	740	296		OLD GODOWN
96	18-05-2025	KA56.6467	983	20051	IKP HATHNOORA	SANGAREDDY	0	458	458	183.2		OLD GODOWN
97	18-05-2025	TS15UE7857	985	10337	PACS REDDIKHANAPUR	SANGAREDDY	0	541	541	216.4		OLD GODOWN
98	18-05-2025	TS12UA7845	987	12029	PACS KASALA II	SANGAREDDY	0	714	714	285.6		OLD GODOWN
99	19-05-2025	KA56.4750	988	27930	PACS SHIVAMPET	SANGAREDDY	165	415	580	232	13.8	BATTI
100	19-05-2025	KA38A6777	989	10338	PACS REDDIKHANAPUR	SANGAREDDY	0	569	569	227.6		OLD GODOWN
101	19-05-2025	TS07UK3350	990	12030	PACS KASALA II	SANGAREDDY	0	953	953	381.2		NEW GODOWN
102	19-05-2025	AP29TB3004	991	12031	PACS KASALA II	SANGAREDDY	0	613	613	245.2		OLD GODOWN
103	19-05-2025	TS15UE7857	992	10339	PACS REDDIKHANAPUR	SANGAREDDY	0	583	583	233.2		NEW GODOWN
104	19-05-2025	TS32T1570	993	11528	PACS INDRAKARAN	SANGAREDDY	843	0	843	337.2		OLD GODOWN
105	19-05-2025	AP24X8168	994	12032	PACS KASALA II	SANGAREDDY	0	590	590	236		NEW GODOWN
106	19-05-2025	AP31TC1059	995	12033	PACS KASALA II	SANGAREDDY	0	680	680	272		NEW GODOWN
107	19-05-2025	TS15UC4786	996	13311	PACS ISMAILKHANPET	SANGAREDDY	0	652	652	260.8		NEW GODOWN
108	20-05-2025	TS07UH3214	997	13313	PACS ISMAILKHANPET	SANGAREDDY	0	629	629	251.6		NEW GODOWN
109	20-05-2025	TS12UA7845	1000	10340	PACS REDDIKHANAPUR	SANGAREDDY	0	721	721	288.4		NEW GODOWN
110	20-05-2025	AP29TA2062	1001	10902	PACS KANDI	SANGAREDDY	416	168	584	233.6		NEW GODOWN
111	20-05-2025	AP12V6144	1002	10913	PACS KANDI	SANGAREDDY	0	280	280	112		OLD GODOWN
112	20-05-2025	TS07UK3350	1003	12034	PACS KASALA II	SANGAREDDY	0	795	795	318		NEW GODOWN
113	20-05-2025	TS12UB9781	1004	10914	PACS KANDI	SANGAREDDY	0	201	201	80.4		BATTI
